YPF,Tenaris,Telecom,PetrAR,PampaE,B.Gal,B.Fran,Siderar,EDN,COME,B.Macro,PetrBR,Aluar
78,135,13.5,2.96,0.83,3.65,9.25,1.25,0.61,0.41,10.15,62.05,2.03
75,136.8,12.65,2.77,0.88,3.26,8.3,1.27,0.66,0.4,9.3,66.4,2.06
68,130,13.2,2.75,0.9,3.33,8.55,1.23,0.58,0.41,9.8,65,2.2
72.6,128,13.5,3,0.89,3.49,8.6,1.26,0.62,0.44,9.7,72,2.21
74.3,129,13.6,2.94,0.93,3.41,8.45,1.29,0.63,0.51,9.26,72.7,2.26
76.4,122.5,12.8,2.82,0.86,3.41,8.2,1.29,0.63,0.54,9,72.9,2.22
79.2,125.7,13.15,2.82,0.9,3.62,8.7,1.33,0.61,0.57,9.25,72.3,2.2
78.3,125,12.8,2.8,0.9,3.59,8.5,1.36,0.62,0.55,8.75,72,2.27
79,129,13.5,2.82,0.95,3.73,9.1,1.41,0.71,0.59,9.33,71.9,2.37
82.1,130,12.7,2.93,0.92,3.6,8.6,1.43,0.7,0.62,9,72,2.42
85.2,132.5,13.45,2.8,0.94,3.89,9.65,1.45,0.71,0.62,9.9,74,2.34
82.95,140.5,13.6,5.76,0.97,3.61,8.55,1.51,0.71,0.58,9.03,75.7,2.31
83.5,136.95,12.5,5.2,0.98,3.21,7.53,1.32,0.72,0.59,8.6,70.5,2.24
80.8,136,14.65,5.35,1.02,3.21,7.6,1.43,0.71,0.6,8.16,67.85,2.49
82.45,136,15.25,5.4,1.08,3.27,7.65,1.53,0.78,0.62,8.29,70.85,2.5
77.5,134.7,15.65,5.69,1.06,3.3,8.01,1.48,0.71,0.61,8.8,71.5,2.49
75.3,128.55,15.2,5.76,1.06,3.24,8.2,1.52,0.74,0.61,8.8,66.9,2.52
76.8,133.5,15.15,5.75,1.11,3.12,7.6,1.54,0.78,0.61,8.13,65.45,2.58
81.6,128.9,15.3,5.6,1.13,3.13,7.7,1.63,0.85,0.63,8.05,67.85,2.7
82.6,123,15.3,5.55,1.15,2.97,7.55,1.69,0.81,0.64,8.08,66,2.65
83,119,15.5,5.37,1.11,3.01,7.42,1.65,0.74,0.69,8.15,65.5,2.54
86.9,115.2,15.55,5.39,1.14,2.94,7.5,1.72,0.77,0.68,8.1,65.35,2.65
81,114,15.45,5.07,1.08,3.04,7.55,1.71,0.7,0.63,8.35,61.3,2.66
77.5,109.45,15.7,5.15,1.1,3.07,7.69,1.71,0.66,0.64,8.35,65.2,2.72
75.05,107,14.6,5.35,1.09,2.91,7.5,1.63,0.7,0.63,8.1,61.9,2.65
76.5,100,14.9,5.05,1.06,2.85,7.32,1.6,0.69,0.63,7.85,60.5,2.71
81.5,96.5,15,5.48,1.12,2.89,7.7,1.6,0.71,0.59,8,60.5,2.57
84,101.6,15.4,5.67,1.17,3.1,8.35,1.65,0.76,0.62,8.58,61,2.72
73.5,97.95,14.5,5.65,1.12,2.78,7.55,1.35,0.66,0.61,8.25,58.7,2.34
87,99,15.2,5.85,1.33,2.95,8.4,1.33,0.73,0.67,8.8,57.8,2.4
85.5,99.5,15.1,6.08,1.36,2.88,8.1,1.25,0.63,0.65,8.21,60.1,2.26
76,103.8,16.15,6,1.39,2.98,8.6,1.32,0.65,0.69,8.25,63.5,2.37
79,95.5,16.2,6.59,1.57,3.06,9.05,1.35,0.72,0.72,8.79,65.45,2.3
121,96,18,6.4,1.66,3.22,10.25,1.54,0.94,0.74,9.23,65,2.48
118,98.5,18.25,6.3,1.69,3.15,10.2,1.59,0.96,0.79,9.35,65.5,2.5
147,99.6,18.6,6.95,1.77,3.4,10.5,1.74,1.04,0.81,10.25,68.6,2.65
143.9,100.2,18.8,6.7,1.75,3.43,10.25,1.73,1.03,0.85,10.85,69,2.75
137.5,104.4,18.7,6.53,1.95,3.51,10.15,1.73,1.14,0.89,10.5,69.75,2.92
132,99.3,17.6,6.4,1.94,3.26,9.4,1.79,1.2,0.84,9.5,68.1,2.76
141,97.5,18.25,6.87,2.01,3.54,10,1.88,1.34,0.82,10,72.25,2.74
159,97.15,18.4,7.22,2.02,3.5,9.75,1.82,1.39,0.69,10.4,71.8,2.78
156.5,96,19.1,7.26,2.02,3.61,9.89,1.92,1.34,0.62,10.9,70.6,2.83
162,93.25,19.2,7.2,2.03,3.45,9.8,2.03,1.43,0.56,10.4,71,2.88
154,88,20,7.3,2.02,3.61,9.75,1.97,1.45,0.65,11.4,71.75,3
180.5,89,19.5,7.35,2.05,3.5,9.5,1.87,1.46,0.65,11.5,68.95,3
182,92.5,19.85,7.15,2.09,3.7,10.1,1.95,1.52,0.62,11.9,69,3.12
170,91,18.65,6.6,2.07,3.42,9.4,1.91,1.5,0.58,10.85,66.5,2.89
172,91.2,18.3,6.65,2.12,3.61,9.87,1.99,1.65,0.6,10.65,61.7,3
167.55,86.7,17,6.19,1.96,2.86,7.95,1.73,1.41,0.59,9.45,57.5,2.6
164,87.95,17.25,6,1.93,2.88,7.95,1.73,1.34,0.52,9.4,59.5,2.6
156,83,17.5,6,1.96,3,8,1.75,1.41,0.53,9.4,59.5,2.56
157,85.7,17.2,5.9,2.05,3.14,8.1,1.77,1.4,0.56,9.55,63,2.6
162.5,89.25,18.15,6.29,2.16,3.4,8.7,1.88,1.52,0.58,10,65,2.7
153.8,74,16.65,6.15,2.11,3.21,8.15,1.7,1.44,0.57,9,57.05,2.48
164,78.5,16.75,6.4,2.1,3.3,8.6,1.69,1.52,0.59,9,60.5,2.56
170,85.6,18.2,6.39,2.26,3.85,9.6,1.82,1.75,0.63,10.4,65.15,2.81
154,83.9,19.4,6.7,2.4,3.89,10,1.78,1.89,0.6,9.77,64.5,3.03
167,81.95,20.15,6.9,2.54,4.5,11,2.09,1.99,0.65,11.1,65.4,3.19
178.5,71.5,19.8,7.1,2.49,4.65,11.1,1.93,1.89,0.65,11.15,58.6,3
178,68,18.5,6.7,2.31,4.45,9.96,1.87,1.62,0.63,10.5,56,2.88
171,63,16.95,6.2,2.08,3.84,8.5,1.58,1.34,0.56,9.4,52,2.68
173.4,59.5,17.5,6.3,2.17,3.91,8.8,1.64,1.4,0.6,9.5,50,2.67
164.5,60.8,17.5,6.7,2.08,4.1,9.23,1.69,1.44,0.65,10,53,2.81
175,68,18.2,7.3,2.15,4.55,10.45,1.85,1.56,0.7,10.7,57.5,2.99
168,66.5,18.25,7.12,2.17,4.6,10.3,1.92,1.65,0.71,10.25,58.5,3.03
168,69.4,19.9,7.4,2.11,4.85,10.8,2.04,1.62,0.78,11,59,3.09
172,71.1,20.65,7.4,2.17,5.27,11.55,2.54,1.68,0.73,12.3,61.2,3.3
163,70,19.95,7.2,2.12,5.22,11.5,2.38,1.58,0.65,12.05,59.5,3.26
166,74.5,20.3,7.5,2.22,5.65,12.4,2.35,1.85,0.74,13,63,3.33
162,75,20.3,7.6,2.18,5.47,12.4,2.27,1.95,0.62,13,62,3.33
181,94,21.65,8.4,2.5,6.11,14,2.67,2.14,0.76,14.8,70.8,3.69
182,98,21.9,8.1,2.46,6.18,13.6,2.59,2,0.77,15.05,71,3.75
181.75,93,21.65,8.05,2.54,5.98,13.8,2.5,2.05,0.8,15.6,69,3.77
194.5,95.5,22.15,8.3,2.7,6.18,14.4,2.56,2.2,0.82,16.4,71.25,3.91
190.45,97,22.5,8.35,2.6,5.89,14.7,2.45,2.12,0.87,16.35,73.45,3.81
181,94.7,21.95,8.07,2.62,5.53,14.15,2.37,2.15,0.72,15.35,70.6,3.78
183,98.05,21.25,8,2.56,5.49,14.2,2.27,2.06,0.71,15,72,3.72
183.75,99.7,21.2,8.06,2.68,5.47,14.15,2.18,2.07,0.68,14.7,72.5,3.58
192,104.9,19.95,8.67,2.5,5.1,12.7,2.16,1.82,0.7,13.8,72.6,3.65
200,104.5,21.65,9.17,2.57,5.15,12.9,2.24,1.93,0.73,14.25,73.4,3.88
192.9,103,21.8,9.13,2.63,5.35,13.35,2.37,2.12,0.75,14.5,73.55,4.03
187.5,104,20.7,9,2.61,5.69,13.85,2.42,2.1,0.76,15.05,73.6,4.13
181,103.5,20.5,9,2.52,5.35,14.2,2.43,2.13,0.71,15,73.6,4.03
188,107.2,19.1,9.77,2.64,5.47,14.65,2.45,2.2,0.75,16.1,77.6,4.13
187,104,19.15,9.9,2.51,5.66,15.3,2.38,2.21,0.74,16.15,78.3,4.2
188,104,19,10.15,2.41,5.68,15.4,2.25,2.17,0.77,16.1,77.8,4.2
194.5,104.45,21.2,9.3,2.41,5.59,16.1,2.38,2.3,0.76,17,79.25,4.27
191.1,106,21.35,9.4,2.55,5.74,16.2,2.32,2.33,0.8,17.7,83.8,4.38
179,98.2,20.3,9.5,2.4,5.5,16.1,2.38,2.17,0.82,16.6,81.8,4.24
190,97,20.4,9.58,2.4,5.5,15.55,2.26,2.19,0.82,17,81,4.31
199,91.95,18.75,8.8,2.32,5.49,14.25,2.48,2.21,0.83,16.25,78.15,4.2
218,99,20.35,9.4,2.59,6.04,16.2,2.38,2.25,0.81,17.5,82.1,4.48
215,95,20,10,3,6,16,2.5,2,0.7,18,82,4.66
202,98,21.15,9.35,2.7,6.3,16.5,2.48,2.3,0.72,17.55,77,4.5
203,96.2,21.25,9.51,2.7,6.15,16.05,2.61,2.4,0.69,17.5,75.5,4.41
208,96.3,21.9,10.4,2.84,6.7,15.25,2.58,2.58,0.73,17.6,78,4.75
201,96.05,21.05,10.7,2.87,6.4,15.3,2.61,2.56,0.72,19,74.75,4.63
206,92.85,21.45,10.15,3.1,6.62,16.15,2.67,2.75,0.67,19.9,75.6,4.6
208,93.4,21.55,10.45,2.69,6.1,15.4,2.69,2.56,0.62,19,78,4.71
211.9,95.1,20.9,11.2,2.62,6.11,15.1,2.69,2.5,0.61,20,76.5,4.66
202,98.25,20.45,10.8,2.76,6.12,15.6,2.66,2.65,0.6,19.95,78.3,4.31
199,98,20.1,9.78,2.62,6.1,15.5,2.57,2.7,0.51,20,70,4.13
176.5,96,19.8,9.48,2.69,5.97,15.5,2.32,2.71,0.55,20.4,70,4.02
180.5,93,20.6,9.6,2.67,6.21,16,2.25,2.67,0.57,22.45,70,3.96
161.1,91.4,20,8.28,2.91,6.6,15.7,2.25,2.8,0.63,20.7,70.65,3.98
166,87,19.85,8.15,2.83,6.31,15.4,2.32,2.43,0.66,19.5,66.6,4.06
166,86,19.6,8,2.27,6.06,15.9,2.35,2,0.59,19.4,66.9,4.16
163.5,88.3,19.3,7.4,2.22,6.06,16,2.53,1.96,0.59,19.5,70,4.06
160.5,87.5,20,8,2.34,6.5,18,2.44,2.1,0.62,20.4,74,3.78
155,81.5,19,7.08,2.25,5.2,15.8,2.34,2.03,0.52,19.7,72,3.37
155,83.1,18.35,6.7,2.11,4.81,15.95,2.22,1.81,0.52,18.65,68,3.36
153.1,82.7,17.95,6.42,1.94,3.99,13.3,2.17,1.8,0.43,17.4,69.2,3.34
152,81,17.3,6.45,1.8,4,13.2,2.1,1.69,0.42,17.55,70,3.42
153,77.2,17.2,6.46,1.77,4,12.85,2.05,1.55,0.42,17.5,74.6,3.22
154,75,16.25,6.45,1.73,3.85,12.7,1.93,1.42,0.42,18.5,72.5,3.13
159.5,72.5,15.5,6.07,1.75,3.65,11.6,2,1.38,0.41,16.3,70.8,3.12
157,72.5,15.45,6.23,1.68,3.48,11.65,2.05,1.36,0.43,15.6,71.1,3.17
160,71.5,15.35,6.1,1.63,3.35,10.7,2,1.31,0.44,15.2,73,3.21
156,68.7,15.05,5.95,1.61,3.2,10.75,2.03,1.29,0.37,14.85,68.65,3.19
157,71,16.55,6.16,1.66,3.35,11.8,2.1,1.32,0.39,15.6,68.45,3.23
162,70.3,15.6,6.25,1.64,3.06,9.9,2.08,1.3,0.4,15.2,69.7,2.97
164.5,76.2,15.8,6.2,1.66,2.77,10.1,2.18,1.34,0.4,16,75,3.07
159,80.55,14.7,5.8,1.67,2.52,10.5,2.15,1.42,0.41,15.3,73.95,3.02
155,77.8,14.6,5.88,1.68,2.5,9.94,2.11,1.32,0.4,14,71.5,3.02
150,75.35,13.5,5.86,1.68,2.42,9.1,2.12,1.3,0.38,13,70,2.85
150,75,13.6,5.98,1.62,2.4,8.8,2.05,1.33,0.4,12.4,72.95,2.87
155,71.5,13.1,5.73,1.6,2.3,8.5,2.19,1.29,0.39,11.7,70.2,2.89
153,74.5,14.1,6.2,1.68,2.45,8.83,2.11,1.33,0.4,12.05,73.5,2.95
156,75.2,14.4,6.05,1.65,2.46,8.9,2.04,1.4,0.4,12.2,75.5,2.94
157,75.25,14.3,6.1,1.69,2.41,8.25,1.94,1.45,0.41,11.65,75.8,2.89
143.7,70.55,13.2,5.7,1.64,2.19,8.55,1.96,1.4,0.42,11.6,71.5,2.85
140,75,13.35,5.53,1.64,2.18,8.14,1.83,1.42,0.44,10.7,72.15,2.85
137,72.8,12.85,5.25,1.59,2.1,8.05,2.02,1.4,0.43,11.05,68.8,2.8
159.5,73.3,13.75,5.72,1.61,2.2,8.7,2.04,1.42,0.44,10.45,73.35,2.96
167,76.5,14.5,5.9,1.69,2.23,8.8,2.32,1.52,0.47,10.8,76,3.14
170,79.5,15.85,6.37,1.7,2.39,9.15,2.35,1.45,0.46,11.1,81.4,3.28
167.5,82.5,15.8,6.48,1.73,2.5,9.9,2.24,1.45,0.41,11.9,84,3.14
172,80.5,16.4,6.63,1.72,2.35,9.85,2.28,1.47,0.39,11.9,81.1,2.95
169,86.8,15.85,6.6,1.79,2.47,10.1,2.1,1.53,0.43,12.2,84.4,3.02
170,84.7,14.6,6.42,1.73,2.37,9.93,1.97,1.42,0.42,12.4,84,2.93
165,84,14.4,6.45,1.78,2.37,10,1.92,1.45,0.48,12.45,81.2,2.93
165,84.5,13.8,6.27,1.76,2.3,9.3,1.95,1.45,0.3,11.55,86.45,2.84
168.5,86.9,13.6,6.38,1.7,2.08,8.68,1.85,1.33,0.29,11,90.1,2.84
170,86,13.45,6.48,1.73,1.94,8.05,1.85,1.36,0.29,10.7,87,2.8
